task,feature_set,model,label,precision,recall,f1-score,support
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,RandomForest,Attack,0.9999325418240691,0.9945207317618643,0.9972192945081066,89428.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,RandomForest,Benign,0.995587811554531,0.9999457367145389,0.997762015629794,110572.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,RandomForest,macro avg,0.9977601766893001,0.9972332342382015,0.9974906550689504,200000.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,RandomForest,weighted avg,0.9975305142472523,0.99752,0.9975193433074427,200000.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,ExtraTrees,Attack,0.9999437791645583,0.9944312743212417,0.9971799083890718,89428.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,ExtraTrees,Benign,0.995516139197767,0.9999547805954491,0.997730523333198,110572.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,ExtraTrees,macro avg,0.9977299591811627,0.9971930274583454,0.997455215861135,200000.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,ExtraTrees,weighted avg,0.997495914132518,0.997485,0.9974843213670814,200000.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,HistGradientBoosting,Attack,0.9998650927487353,0.9945207317618643,0.9971857516061398,89428.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,HistGradientBoosting,Benign,0.9955875731652409,0.9998914734290779,0.9977348819160553,110572.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,HistGradientBoosting,macro avg,0.9977263329569881,0.997206102595471,0.9974603167610976,200000.0
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,HistGradientBoosting,weighted avg,0.9975002232718045,0.99749,0.9974893437892797,200000.0
binary,A6_Full_CAVALRY_AI,GaussianNB,Attack,0.5956928748787719,0.9684438878203695,0.737653046014948,89428.0
binary,A6_Full_CAVALRY_AI,GaussianNB,Benign,0.9483273213337484,0.46839163621893426,0.627066622271998,110572.0
binary,A6_Full_CAVALRY_AI,GaussianNB,macro avg,0.7720100981062601,0.7184177620196519,0.682359834143473,200000.0
binary,A6_Full_CAVALRY_AI,GaussianNB,weighted avg,0.7906503549458702,0.691985,0.6765142357844207,200000.0
binary,A6_Full_CAVALRY_AI,LogisticRegression,Attack,0.6649606599954166,0.48670438788746256,0.5620371506233738,89428.0
binary,A6_Full_CAVALRY_AI,LogisticRegression,Benign,0.658827901445613,0.8016676916398365,0.7232627683922371,110572.0
