task,feature_set,model,n_train,n_test,n_features,n_classes,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,roc_auc_macro_ovr,pr_auc_macro,log_loss,train_seconds,inference_seconds,inference_ms_per_sample
binary,A7_TCPFlagsOnly,HistGradientBoosting,600000,200000,12,2,0.716885,0.7233890733666561,0.7221691574283462,0.7233890733666561,0.7168216665922973,0.7295381209334874,0.716885,0.7172693836008117,0.4455565607577515,0.7881148969702819,0.8172059786180441,0.5131904179390933,2.158147900016047,0.13800430000992492,0.0006900215000496246
binary,A7_TCPFlagsOnly,LogisticRegression,600000,200000,12,2,0.71679,0.7233031564980095,0.7220901527221231,0.7233031564980095,0.7167274478683473,0.7294629441140025,0.71679,0.7171724688211282,0.44539165744308695,0.787796012892745,0.8163110432866899,0.5181458365424174,1.6554153999895789,0.03369509999174625,0.00016847549995873122
binary,A5_CMG_GraphMemory,GaussianNB,600000,200000,84,2,0.691985,0.7184177620196519,0.7720100981062601,0.7184177620196519,0.682359834143473,0.7906503549458702,0.691985,0.6765142357844207,0.48749086914573186,0.8649832531916387,0.8700340194926248,3.1319444939169956,6.226876400003675,0.4798098999890499,0.002399049499945249
binary,A6_Full_CAVALRY_AI,GaussianNB,600000,200000,93,2,0.691985,0.7184177620196519,0.7720100981062601,0.7184177620196519,0.682359834143473,0.7906503549458702,0.691985,0.6765142357844207,0.48749086914573186,0.8649841540603953,0.8700370895623373,3.1319466449017765,7.157506600022316,0.6006874999729916,0.0030034374998649583
binary,A5_CMG_GraphMemory,LogisticRegression,600000,200000,84,2,0.67096,0.6690295318790964,0.6680176417935592,0.6690295318790964,0.6683334596672998,0.6723224592525258,0.67096,0.6714537860407469,0.3370456547104266,0.7339479832793614,0.7863118011452911,0.5625571008071532,43.531749599962495,0.30252279998967424,0.0015126139999483712
binary,A3_AllNumeric_NoCMG_NoRWAR,GaussianNB,600000,200000,78,2,0.678445,0.7062525334860603,0.765818747754355,0.7062525334860603,0.6666160807332844,0.7849650895775293,0.678445,0.6599770907676477,0.46829815362620303,0.8346118867312884,0.8563463285347497,6.662261352042857,4.914782400010154,0.4930162000237033,0.0024650810001185164
binary,A4_RWAR_RiskRouting,GaussianNB,600000,200000,87,2,0.678445,0.7062525334860603,0.765818747754355,0.7062525334860603,0.6666160807332844,0.7849650895775293,0.678445,0.6599770907676477,0.46829815362620303,0.8346126601252953,0.8563468324868735,6.6622637440961565,6.3121595999691635,0.5316998999915086,0.0026584994999575427
binary,A6b_Full_CAVALRY_AI_SelectKBest_35,GaussianNB,600000,200000,35,2,0.675125,0.7025133209606257,0.7586939103368251,0.7025133209606257,0.6636385274852832,0.7772815798594717,0.675125,0.657067192361195,0.45777270733236514,0.8405558534231825,0.8541408201222346,4.646758146006619,2.709626100026071,0.18574139999691397,0.0009287069999845699
binary,A6_Full_CAVALRY_AI,LogisticRegression,600000,200000,93,2,0.660835,0.6441860397636495,0.6618942807205148,0.6441860397636495,0.6426499595078055,0.6615701031035722,0.660835,0.6511723456630676,0.30556763701331713,0.7991801879617073,0.8298792981796222,0.5619623895192962,41.92725150001934,0.36990140000125393,0.0018495070000062697
binary,A2_Core_PortProtocol_Temporal,GaussianNB,600000,200000,36,2,0.60246,0.6376277587030471,0.7286260102401421,0.6376277587030471,0.5723756624485511,0.7495915408949484,0.60246,0.5603845745057854,0.3547691382889478,0.6358601698097396,0.7326110852115071,7.963546894688006,1.457952100026887,0.12237730005290359,0.000611886500264518
binary,A3_AllNumeric_NoCMG_NoRWAR,LogisticRegression,600000,200000,78,2,0.573605,0.5615820409299715,0.564631102349003,0.5615820409299715,0.5604348006742004,0.5685763780992562,0.573605,0.5684786694903045,0.12617630823899526,0.6311650490167828,0.7450376531393758,0.6436107095973469,41.83023320004577,0.29527570004574955,0.0014763785002287477
binary,A1_Core_PortProtocol,GaussianNB,600000,200000,14,2,0.58899,0.625167672225245,0.7182427160547373,0.625167672225245,0.5550699900263917,0.7390114748189208,0.58899,0.5420823276657026,0.330556698608191,0.6954508961270396,0.7656673796652456,2.2663613272099683,0.5543830000096932,0.04955210001207888,0.00024776050006039443
binary,A4_RWAR_RiskRouting,LogisticRegression,600000,200000,87,2,0.578415,0.5558425830252013,0.5683880549046113,0.5558425830252013,0.5446588898407249,0.570803679714867,0.578415,0.557765844081983,0.12359556034005076,0.7138700588216409,0.7956752745495748,0.6432673612459946,45.71985960000893,0.32887560001108795,0.0016443780000554398
binary,A2_Core_PortProtocol_Temporal,LogisticRegression,600000,200000,36,2,0.564535,0.5453787946086726,0.5520779803822512,0.5453787946086726,0.5381878252588406,0.5556182801590958,0.564535,0.549849391119448,0.09722625109301822,0.6031979992268014,0.7121303380428864,0.643752883790636,11.342440999986138,0.06568649999098852,0.0003284324999549426
binary,A0_CoreFlow,GaussianNB,600000,200000,12,2,0.53959,0.5806780017061444,0.6890275912719822,0.5806780017061444,0.4843660657987713,0.7098085843126982,0.53959,0.4665262004814275,0.24698476334502356,0.7860538074025865,0.804929853676723,1.961860771554037,0.9637198999989778,0.06665260001318529,0.00033326300006592647
binary,A7_TCPFlagsOnly,GaussianNB,600000,200000,12,2,0.50082,0.5478301533550786,0.7083760520026631,0.5478301533550786,0.41302251206768736,0.733333202451608,0.50082,0.3890226402533264,0.1996663068503366,0.7577362829054974,0.7910081445551069,9.763211119162648,0.5872067000018433,0.06872579996706918,0.0003436289998353459
