task,feature_set,model,n_train,n_test,n_features,n_classes,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,roc_auc_macro_ovr,pr_auc_macro,log_loss,train_seconds,inference_seconds,inference_ms_per_sample
multiclass,A1_Core_PortProtocol,ExtraTrees,600000,200000,14,12,0.935365,0.8418815175602293,0.7501758769786572,0.8418815175602293,0.7580311611069716,0.9693873710380164,0.935365,0.9506833656796192,0.9061627088592856,0.9844775777112563,0.7879750776832225,0.4600551180071185,10.195077900018077,1.0913053999538533,0.005456526999769266
multiclass,A0_CoreFlow,HistGradientBoosting,600000,200000,12,12,0.95275,0.748084302576534,0.752262995625092,0.748084302576534,0.7424618166019927,0.9482826062448979,0.95275,0.949148250823555,0.927424211528714,0.9780115608902621,0.7457111911221959,0.18241324654020188,12.746729400008917,0.8675967999733984,0.004337983999866992
multiclass,A0_CoreFlow,RandomForest,600000,200000,12,12,0.91154,0.8080152763013423,0.6991702097176423,0.8080152763013423,0.721289385435088,0.9524088881865519,0.91154,0.928425093447994,0.8746417644325193,0.9687803924911739,0.7657407611929766,0.2715119970809091,17.63778769999044,0.8756991000263952,0.004378495500131976
multiclass,A0_CoreFlow,ExtraTrees,600000,200000,12,12,0.88515,0.8267520897470789,0.6926870759534411,0.8267520897470789,0.7154818980232881,0.9514776830429084,0.88515,0.9123886125011691,0.8432677621995159,0.9779817538182947,0.7420286965554005,0.7394072234267175,9.161625400010962,1.048854199994821,0.005244270999974105
multiclass,A5_CMG_GraphMemory,GaussianNB,600000,200000,84,12,0.46032,0.688987999663523,0.5609044386953678,0.688987999663523,0.5262282036600455,0.8580024034821526,0.46032,0.43816468445715007,0.49824977081095756,0.9511682889021146,0.5857933697790946,16.659092439515284,9.987741399963852,3.008031200035475,0.015040156000177376
multiclass,A6_Full_CAVALRY_AI,GaussianNB,600000,200000,93,12,0.46032,0.688987999663523,0.5609044386953678,0.688987999663523,0.5262282036600455,0.8580024034821526,0.46032,0.43816468445715007,0.49824977081095756,0.9511681685117814,0.5857934715969936,16.659093285407575,10.950295599992387,3.178871200012509,0.015894356000062542
multiclass,A6b_Full_CAVALRY_AI_SelectKBest_35,GaussianNB,600000,200000,35,12,0.449395,0.671564476870098,0.5471212571299339,0.671564476870098,0.5072143651598614,0.8590508175028307,0.449395,0.4215799343689706,0.48975165274591037,0.956875919054685,0.6402855284427611,13.571051205644915,4.602446700038854,1.1875079000019468,0.0059375395000097345
multiclass,A3_AllNumeric_NoCMG_NoRWAR,GaussianNB,600000,200000,78,12,0.365005,0.5895930018860546,0.43886999085439865,0.5895930018860546,0.4026048531018478,0.7531844496326038,0.365005,0.3312423010248379,0.36793992505847595,0.929372438026394,0.5037563924915175,17.706094575113287,5.754715399991255,1.7757042000303045,0.008878521000151523
multiclass,A4_RWAR_RiskRouting,GaussianNB,600000,200000,87,12,0.365005,0.5895930018860546,0.43886999085439865,0.5895930018860546,0.4026048531018478,0.7531844496326038,0.365005,0.3312423010248379,0.36793992505847595,0.9293708712944936,0.5037622798500089,17.706094680201172,6.497851099993568,2.0489525999873877,0.010244762999936938
multiclass,A1_Core_PortProtocol,GaussianNB,600000,200000,14,12,0.400305,0.588431434322514,0.4112094898180929,0.588431434322514,0.39233292703089545,0.7677718060505735,0.400305,0.30261106621404205,0.4316320579318533,0.9022774102111798,0.4897803282079523,9.05713990292275,1.1066976999863982,0.34330389997921884,0.0017165194998960943
multiclass,A2_Core_PortProtocol_Temporal,GaussianNB,600000,200000,36,12,0.34514,0.5623226546868612,0.376627724452951,0.5623226546868612,0.34894891961942337,0.7354637448621368,0.34514,0.2906123512841309,0.3474604234247502,0.8887999264510671,0.42500198101294134,18.642208558278238,2.8008779999800026,0.8395223999978043,0.004197611999989022
multiclass,A0_CoreFlow,GaussianNB,600000,200000,12,12,0.288715,0.45650536866504526,0.3225528378048082,0.45650536866504526,0.28836503045182266,0.6734969723269759,0.288715,0.198215564283988,0.28974524161266413,0.8471146495852414,0.35205586075777046,10.160507954611345,0.9623535000137053,0.2806571999681182,0.0014032859998405912
multiclass,A6b_Full_CAVALRY_AI_SelectKBest_35,LogisticRegression,600000,200000,35,12,0.21028,0.38067735023466825,0.21885373364987334,0.38067735023466825,0.2157804111148075,0.30925735375276747,0.21028,0.22557141867501673,0.06665669460352457,0.8964979844456004,0.4462701833909167,2.1275147616197128,2709.5235163999605,0.17155590001493692,0.0008577795000746846
multiclass,A6_Full_CAVALRY_AI,LogisticRegression,600000,200000,93,12,0.292495,0.3930230360087789,0.1596210235000747,0.3930230360087789,0.16459526228549273,0.40725344458161994,0.292495,0.3057558089227776,0.17981890102659132,0.8024557071148735,0.3837472148958685,2.4197685042928847,5693.175239500008,0.5408728000475094,0.002704364000237547
multiclass,A5_CMG_GraphMemory,LogisticRegression,600000,200000,84,12,0.36498,0.3621122874765161,0.15104778705062524,0.3621122874765161,0.15473383240058391,0.4536830625627254,0.36498,0.38457010706240174,0.20554972361971027,0.8084050005693598,0.38904869681418913,2.027774839384401,5205.29122340004,0.46956699999282137,0.0023478349999641068
multiclass,A0_CoreFlow,LogisticRegression,600000,200000,12,12,0.152055,0.28516148222758214,0.1376399311695289,0.28516148222758214,0.11817249865706418,0.47148932100224716,0.152055,0.19445571248444288,0.08410532602343312,0.802016302098214,0.2898926967060493,2.454938968101791,793.6801207999815,0.05374330002814531,0.0002687165001407266
multiclass,A7_TCPFlagsOnly,HistGradientBoosting,600000,200000,12,12,0.581005,0.15326022096450465,0.08743683221989579,0.15326022096450465,0.10773865228651706,0.4170165842030939,0.581005,0.47743079980871994,0.30946762509573644,0.8165838281436039,0.17141707767692235,1.038513340848902,48.92618509999011,4.604888800007757,0.023024444000038783
multiclass,A1_Core_PortProtocol,LogisticRegression,600000,200000,14,12,0.07548,0.3025462098121651,0.12640646707011774,0.3025462098121651,0.10638546194610222,0.3558188414753925,0.07548,0.07916730161543489,0.0420323685677266,0.8707806693286587,0.40664865319257304,2.4427736236181308,896.2468638999853,0.06283989996882156,0.0003141994998441078
multiclass,A7_TCPFlagsOnly,RandomForest,600000,200000,12,12,0.194845,0.32137701938615676,0.14959428758094953,0.32137701938615676,0.10073756600015465,0.619109508867994,0.194845,0.10164850014846827,0.18312654538487125,0.8028822503562977,0.16659229993973276,1.9591242165656715,14.54781489999732,1.3190555000328459,0.0065952775001642296
multiclass,A2_Core_PortProtocol_Temporal,LogisticRegression,600000,200000,36,12,0.27502,0.3077099349155201,0.08961296986954827,0.3077099349155201,0.098421329057807,0.365829467311144,0.27502,0.29568246071551996,0.09738053602973397,0.7189942932714565,0.2960109790096011,2.334762765056199,1558.2794795000227,0.14241780003067106,0.0007120890001533553
multiclass,A7_TCPFlagsOnly,ExtraTrees,600000,200000,12,12,0.190045,0.32137701938615676,0.14771714646686626,0.32137701938615676,0.0976364072822668,0.6181463102195356,0.190045,0.09997841108280495,0.1778059811391467,0.8028770524835348,0.16659228332145354,1.9637298539659183,6.088304499979131,1.6261522000422701,0.00813076100021135
multiclass,A7_TCPFlagsOnly,LogisticRegression,600000,200000,12,12,0.217365,0.3027370113257026,0.15307799007643444,0.3027370113257026,0.0971800034151743,0.6234202245376752,0.217365,0.15040703271029812,0.19394170153727755,0.8018640346498689,0.16626995544647474,2.2004133799071535,1330.3534623000305,0.08411039999919012,0.0004205519999959506
multiclass,A7_TCPFlagsOnly,GaussianNB,600000,200000,12,12,0.15545,0.31408284880791176,0.1354750006558282,0.31408284880791176,0.08176837278807132,0.6013223366355216,0.15545,0.07224200505606457,0.1516742842057401,0.6953143180154749,0.14512351084813097,26.981428763536915,1.0936331000411883,0.40627349994610995,0.00203136749973055
multiclass,A3_AllNumeric_NoCMG_NoRWAR,LogisticRegression,600000,200000,78,12,0.17868,0.3077333472199407,0.07443250678135963,0.3077333472199407,0.07873699569530761,0.2924752204722701,0.17868,0.19131030774658786,0.04021680364434956,0.7392341614480152,0.31191736592781844,2.5448350089918303,3206.3196955000167,0.31409460003487766,0.0015704730001743882
multiclass,A4_RWAR_RiskRouting,LogisticRegression,600000,200000,87,12,0.246575,0.27746938266933713,0.06607869363155058,0.27746938266933713,0.0685198967287449,0.33562286190674434,0.246575,0.26605735212713744,0.05893686177768391,0.7444407422373609,0.321831786145804,2.332284371393328,4377.063727099972,0.5371751000056975,0.0026858755000284873
